length,hue,sat,bright,sequence
0.02,34,43,15,1
0.02,34,43,15,2
0.02,34,43,15,3
0.02,34,43,15,4
0.02,34,43,15,5
0.02,19,15,42,6
0.02,24,59,18,7
0.02,24,59,18,8
0.02,24,59,18,9
0.02,30,29,32,10
0.02,30,29,32,11
0.02,30,29,32,12
0.02,32,24,24,13
0.02,43,15,15,14
0.02,80,5,22,15
0.02,180,9,22,16
0.02,180,11,15,17
0.02,200,7,18,18
0.02,120,2,13,19
0.02,228,14,15,20
0.02,230,12,20,21
0.02,228,17,23,22
0.02,231,24,22,23
0.02,226,31,16,24
0.02,206,30,9,25
0.02,195,53,6,26
0.02,208,43,12,27
0.02,219,30,22,28
0.02,220,22,33,29
0.02,215,25,30,30
0.02,213,29,24,31
0.02,210,31,18,32
0.02,205,36,13,33
0.02,200,39,12,34
0.02,221,28,22,35
0.02,221,26,24,36
0.02,214,34,16,37
0.02,207,55,8,38
0.02,207,50,9,39
0.02,212,30,17,40
0.02,216,42,14,41
0.02,220,25,24,42
0.02,227,17,32,43
0.02,225,20,24,44
0.02,220,41,9,45
0.02,213,75,5,46
0.02,216,91,4,47
0.02,213,50,9,48
0.02,205,26,18,49
0.02,196,27,16,50
0.02,186,50,8,51
0.02,186,63,6,52
0.02,198,50,8,53
0.02,213,55,8,54
0.02,219,54,10,55
0.02,218,9,36,56
0.02,80,8,31,57
0.02,66,38,20,58
0.02,62,38,28,59
0.02,58,45,29,60
0.02,57,43,32,61
0.02,58,40,33,62
0.02,60,39,29,63
0.02,60,44,26,64
0.02,55,30,44,65
0.02,53,25,51,66
0.02,49,19,58,67
0.02,49,14,60,68
0.02,64,10,54,69
0.02,97,11,45,70
0.02,111,8,67,71
0.02,116,7,77,72
0.02,116,7,78,73
0.02,115,6,80,74
0.02,127,5,66,75
0.02,120,5,60,76
0.02,108,6,62,77
0.02,94,10,62,78
0.02,81,18,51,79
0.02,62,30,34,80
0.02,62,35,35,81
0.02,64,37,33,82
0.02,68,41,29,83
0.02,71,37,29,84
0.02,66,26,31,85
0.02,63,18,42,86
0.02,60,16,53,87
0.02,60,19,53,88
0.02,66,28,41,89
0.02,71,16,70,90
0.02,76,17,52,91
0.02,78,16,43,92
0.02,71,9,50,93
0.02,60,6,67,94
0.02,45,8,74,95
0.02,45,11,71,96
0.02,54,12,65,97
0.02,64,11,60,98
0.02,75,8,62,99
0.02,140,2,67,100
0.02,120,1,55,101
0.02,30,4,57,102
0.02,30,11,58,103
0.02,31,30,40,104
0.02,27,53,35,105
0.02,27,62,33,106
0.02,24,71,26,107
0.02,18,76,20,108
0.02,27,55,30,109
0.02,29,71,25,110
0.02,32,51,36,111
0.02,28,49,40,112
0.02,25,46,45,113
0.02,25,35,65,114
0.02,32,40,59,115
0.02,33,40,61,116
0.02,30,44,58,117
0.02,30,45,56,118
0.02,29,47,54,119
0.02,28,50,52,120
0.02,30,51,52,121
0.02,30,50,50,122
0.02,30,50,47,123
0.02,32,51,46,124
0.02,31,50,48,125
0.02,32,49,49,126
0.02,30,49,51,127
0.02,30,49,50,128
0.02,29,47,49,129
0.02,28,46,43,130
0.02,28,40,38,131
0.02,25,39,35,132
0.02,26,27,36,133
0.02,25,30,35,134
0.02,18,17,29,135
0.02,23,18,29,136
0.02,0,9,22,137
0.02,270,3,24,138
0.02,240,4,18,139
0.02,0,0,15,140
0.02,60,7,16,141
0.02,34,13,20,142
0.02,34,9,31,143
0.02,33,14,25,144
0.02,36,17,24,145
0.02,35,23,21,146
0.02,32,41,13,147
0.02,18,23,29,148
0.02,16,26,28,149
0.02,12,23,25,150
0.02,12,16,24,151
0.02,7,13,25,152
0.02,353,16,19,153
0.02,343,9,31,154
0.02,326,10,29,155
0.02,308,12,25,156
0.02,308,9,34,157
0.02,300,7,22,158
0.02,280,5,22,159
0.02,324,11,18,160
0.02,330,24,13,161
0.02,315,27,12,162
0.02,267,12,29,163
0.02,249,12,23,164
0.02,288,8,24,165
0.02,334,10,29,166
0.02,338,13,24,167
0.02,323,13,25,168
0.02,307,15,21,169
0.02,285,20,16,170
0.02,268,20,18,171
0.02,260,12,30,172
0.02,264,7,19,173
0.02,288,8,24,174
0.02,300,16,18,175
0.02,300,24,15,176
0.02,300,19,19,177
0.02,285,20,24,178
0.02,287,14,26,179
0.02,300,5,24,180
0.02,48,11,18,181
0.02,54,33,12,182
0.02,36,29,27,183
0.02,39,39,29,184
0.02,34,54,28,185
0.02,38,61,30,186
0.02,36,52,39,187
0.02,31,54,41,188
0.02,31,61,38,189
0.02,31,61,38,190
0.02,32,59,41,191
0.02,33,58,40,192
0.02,32,78,27,193
0.02,32,66,29,194
0.02,31,50,35,195
0.02,31,48,33,196
0.02,33,65,24,197
0.02,33,49,38,198
0.02,35,52,38,199
0.02,33,50,41,200
0.02,32,51,49,201
0.02,31,52,35,202
0.02,32,80,18,203
0.02,30,49,25,204
0.02,29,39,31,205
0.02,28,43,29,206
0.02,28,60,21,207
0.02,33,75,17,208
0.02,32,52,23,209
0.02,27,52,20,210
0.02,24,62,16,211
0.02,22,69,14,212
0.02,28,50,22,213
0.02,29,37,22,214
0.02,10,14,16,215
0.02,235,27,16,216
0.02,220,41,23,217
0.02,213,54,22,218
0.02,213,55,22,219
0.02,217,50,20,220
0.02,223,42,17,221
0.02,247,31,11,222
0.02,333,28,15,223
0.02,7,36,18,224
0.02,17,38,22,225
0.02,23,43,21,226
0.02,26,78,13,227
0.02,34,78,13,228
0.02,34,71,14,229
0.02,29,69,14,230
0.02,27,71,15,231
0.02,28,72,15,232
